Player,Pos,Overall,Instincts,FirstStep,Speed,Hands,Release,ArmStrength,ArmAccuracy,Votes,Agreement,tangoid,Season,Team,PositionSpec,Age,GP,FGName,playerid,FGTeam
"Francisco, Ben",LF,52,56,55,59,46,45,46,50,6,0.88,7948,2007,CLE,NA,NA,NA,Ben Francisco,4677,Indians
"Molina, Jose",C,57,56,41,26,61,81,79,83,8,0.65,6330,2006,ANA,NA,NA,NA,Jose Molina,25,Angels
"Towles, J.R.",C,47,46,48,56,43,46,46,43,12,0.57,8107,2008,HOU,45,NA,NA,J.R. Towles,7348,Astros
"Kinsler, Ian",2B,48,55,54,60,27,34,56,47,15,0.73,7490,2007,TEX,NA,NA,NA,Ian Kinsler,6195,Rangers
"Hernandez, Anderson",2B,79,87,86,76,78,79,64,76,15,0.8,7680,2006,NYN,NA,NA,NA,Anderson Hernandez,3366,Mets
"Gonzalez, Adrian",1B,64,80,57,26,87,71,54,70,14,0.7,7054,2006,SDN,NA,NA,NA,Adrian Gonzalez,1908,Padres
S Green,NA,47,42,42,52,57,50,38,45,30,0.62,NA,2005,ARI,NA,NA,NA,Shawn Green,651,Diamondbacks
M Bellhorn,NA,51,51,49,45,51,64,45,57,106,0.73,NA,2005,BOS,NA,NA,NA,Mark Bellhorn,264,- - -
"Wigginton, Ty",3B,NA,31,36,34,42,43,47,55,14,0.69,NA,2003,NA,NA,NA,169,Ty Wigginton,1491,Mets
"Punto, Nick",SS,65,61,71,65,73,63,53,65,26,0.63,6793,2008,MIN,65,NA,NA,Nick Punto,1429,Twins
"Holliday, Matt",LF,48,45,45,53,48,49,52,44,20,0.7,7311,2007,COL,NA,NA,NA,Matt Holliday,1873,Rockies
"Michaels, Jason",NA,46,38,46,46,49,47,52,54,10,0.87,NA,2004,PHI,NA,28,68,Jason Michaels,1399,Phillies
"Wilson, Josh",2B,48,46,54,50,42,49,47,47,15,0.84,7663,2007,TBA,NA,NA,NA,Josh Wilson,2102,- - -
"Drew, J.D.",RF,NA,49,60,78,42,51,66,59,8,0.68,NA,2003,NA,NA,NA,157,J.D. Drew,1152,Cardinals
"Abreu, Bobby",RF,49,37,46,57,40,50,67,59,55,0.72,5698,2007,NYA,NA,NA,NA,Bobby Abreu,945,Yankees
"Everett, Adam",NA,80,76,89,81,81,82,66,80,18,0.81,NA,2004,HOU,NA,27,94,Adam Everett,1430,Astros
"Cabrera, Miguel",3B,40,49,26,26,41,43,70,33,10,0.54,7163,2007,FLO,NA,NA,NA,Miguel Cabrera,1744,Marlins
J DaVanon,NA,48,38,57,63,51,32,36,49,17,0.77,NA,2005,ANA,NA,NA,NA,Jeff DaVanon,1440,Angels
E Byrnes,NA,58,56,64,73,57,51,54,40,37,0.66,NA,2005,COL,NA,NA,NA,Eric Byrnes,905,- - -
"Bocachica, Hiram",RF,63,69,66,70,36,64,81,55,4,0.58,6600,2007,SDN,NA,NA,NA,Hiram Bocachica,1404,- - -
"Blum, Geoff",3B,33,20,36,36,26,29,46,51,5,0.65,6307,2006,SDN,NA,NA,NA,Geoff Blum,550,Padres
"Harris, Willie",LF,54,50,67,84,50,42,27,37,22,0.71,6798,2007,ATL,NA,NA,NA,Willie Harris,236,Braves
