Player,Pos,Overall,Instincts,FirstStep,Speed,Hands,Release,ArmStrength,ArmAccuracy,Votes,Agreement,tangoid,Season,Team,PositionSpec,Age,GP,FGName,playerid,FGTeam
"Closser, JD",C,20,24,24,40,10,0,28,4,7,0.62,7274,2006,COL,NA,NA,NA,JD Closser,2108,Rockies
"Maier, Mitch",CF,52,56,61,55,53,42,38,40,17,0.81,7899,2008,KCA,54,NA,NA,Mitch Maier,5588,Royals
"Martinez, Ramon",2B,42,43,40,45,36,41,41,49,9,0.86,6034,2006,LAN,NA,NA,NA,Ramon Martinez,1120,Dodgers
"Gibbons, Jay",LF,11,0,7,15,6,15,32,19,33,0.7,6635,2007,BAL,NA,NA,NA,Jay Gibbons,141,Orioles
"Hillenbrand, Shea",3B,NA,31,35,36,28,34,52,28,31,0.7,NA,2003,NA,NA,NA,201,Shea Hillenbrand,196,- - -
"Halter, Shane",NA,22,9,24,31,8,26,39,26,10,0.75,NA,2004,ANA,NA,35,30,Shane Halter,468,Angels
"Kinsler, Ian",2B,60,70,75,74,23,57,61,56,7,0.52,7490,2008,TEX,58,NA,NA,Ian Kinsler,6195,Rangers
"Hall, Bill",SS,64,59,68,73,54,57,80,55,29,0.69,6992,2006,MIL,NA,NA,NA,Bill Hall,1605,Brewers
"Everett, Carl",NA,32,43,19,37,16,41,32,34,4,0.26,NA,2004,MON,NA,33,29,Carl Everett,1249,- - -
"Byrnes, Eric",CF,NA,21,59,88,34,28,39,30,27,0.68,NA,2003,NA,NA,NA,69,Eric Byrnes,905,Athletics
"Durrington, Trent",NA,31,21,38,56,18,25,27,31,6,0.55,NA,2004,MIL,NA,29,11,Trent Durrington,1805,Brewers
K Matsui,NA,23,13,39,60,0,11,16,13,49,0.61,NA,2005,NYN,NA,NA,NA,Kaz Matsui,1854,Mets
"Cintron, Alex",SS,50,47,52,58,49,48,47,45,29,0.82,6766,2006,CHA,NA,NA,NA,Alex Cintron,50,White Sox
"Lieberthal, Mike",C,NA,63,54,35,49,74,51,52,9,0.34,NA,2003,NA,NA,NA,252,Mike Lieberthal,959,Phillies
J Rollins,NA,72,63,78,80,67,80,61,71,13,0.73,NA,2005,PHI,NA,NA,NA,Jimmy Rollins,971,Phillies
"Youkilis, Kevin",NA,44,45,41,41,43,44,49,50,57,0.82,NA,2004,BOS,NA,25,56,Kevin Youkilis,1935,Red Sox
"Lugo, Julio",NA,64,74,81,64,69,55,68,15,6,0.56,NA,2004,TBA,NA,29,146,Julio Lugo,565,Devil Rays
"Crede, Joe",3B,75,88,74,49,83,81,71,77,43,0.8,6411,2006,CHA,NA,NA,NA,Joe Crede,227,White Sox
"Christian, Justin",LF,62,50,76,83,56,54,51,52,11,0.71,8283,2008,NYA,68,NA,NA,Justin Christian,8297,Yankees
"Branyan, Russell",3B,29,15,23,28,29,17,75,31,4,0.64,6149,2007,SDN,NA,NA,NA,Russell Branyan,370,- - -
"Michaels, Jason",RF,38,36,42,38,42,35,33,33,18,0.76,6696,2008,PIT,38,NA,NA,Jason Michaels,1399,- - -
"Coste, Chris",C,45,41,38,42,47,45,57,58,19,0.82,7770,2007,PHI,NA,NA,NA,Chris Coste,7243,Phillies
P Konerko,NA,40,47,30,12,56,45,43,52,24,0.65,NA,2005,CHA,NA,NA,NA,Paul Konerko,242,White Sox
"Bloomquist, Willie",3B,NA,64,45,53,53,43,36,58,7,0.71,NA,2003,NA,NA,NA,20,Willie Bloomquist,1066,Mariners
"Gutierrez, Franklin",RF,60,59,63,72,43,60,64,61,14,0.75,7644,2006,CLE,NA,NA,NA,Franklin Gutierrez,3255,Indians
"Hinske, Eric",1B,30,26,27,29,34,29,37,34,175,0.78,6645,2007,BOS,NA,NA,NA,Eric Hinske,1305,Red Sox
"Wooten, Shawn",NA,35,43,36,42,28,13,42,39,2,0.77,NA,2004,PHI,NA,32,10,Shawn Wooten,43,Phillies
"Schneider, Brian",NA,63,69,32,21,73,88,89,89,6,0.66,NA,2004,MON,NA,28,124,Brian Schneider,795,Expos
"Rowand, Aaron",CF,NA,58,67,66,58,55,56,54,10,0.77,NA,2003,NA,NA,NA,101,Aaron Rowand,254,White Sox
"Dobbs, Greg",3B,32,31,34,39,26,28,33,34,14,0.68,7439,2008,PHI,32,NA,NA,Greg Dobbs,2158,Phillies
"Mondesi, Raul",RF,NA,36,40,62,34,60,94,72,39,0.72,NA,2003,NA,NA,NA,250,Raul Mondesi,1314,- - -
"Casilla, Alexi",2B,57,45,77,85,35,44,61,35,18,0.68,7855,2007,MIN,NA,NA,NA,Alexi Casilla,5248,Twins
"Mathis, Jeff",C,46,43,56,50,28,41,54,49,3,0.17,7296,2006,ANA,NA,NA,NA,Jeff Mathis,3448,Angels
"Rios, Alex",RF,68,54,65,81,55,72,88,75,54,0.78,7254,2006,TOR,NA,NA,NA,Alex Rios,2090,Blue Jays
"Cabrera, Asdrubal",2B,79,83,79,67,88,84,72,80,31,0.8,7947,2008,CLE,81,NA,NA,Asdrubal Cabrera,4962,Indians
"Borchard, Joe",NA,41,29,41,54,33,34,65,44,12,0.75,NA,2004,CHA,NA,26,52,Joe Borchard,224,White Sox
"Gotay, Ruben",NA,52,59,55,50,48,52,47,45,4,0.69,NA,2004,KCA,NA,22,41,Ruben Gotay,3417,Royals
"Ransom, Cody",NA,43,34,55,54,19,49,53,39,14,0.63,NA,2004,SFN,NA,28,20,Cody Ransom,1126,Giants
"Lo Duca, Paul",C,41,58,44,33,40,36,30,35,23,0.45,6032,2006,NYN,NA,NA,NA,Paul Lo Duca,662,Mets
"Hall, Bill",CF,46,30,44,67,42,37,65,41,19,0.6,6992,2007,MIL,NA,NA,NA,Bill Hall,1605,Brewers
"Young, Chris",CF,69,67,82,84,68,60,48,55,40,0.77,7738,2008,ARI,74,NA,NA,Chris Young,3882,Diamondbacks
"Rivera, Mike",C,40,45,40,34,38,38,41,44,11,0.62,6820,2006,MIL,NA,NA,NA,Mike Rivera,493,Brewers
"Cota, Humberto",NA,49,43,24,7,64,69,93,69,1,0,NA,2004,PIT,NA,25,15,Humberto Cota,1595,Pirates
"Johnson, Nick",1B,NA,65,49,37,58,59,45,54,37,0.64,NA,2003,NA,NA,NA,122,Nick Johnson,828,Yankees
"Olivo, Miguel",C,NA,55,56,52,52,52,86,60,10,0.74,NA,2003,NA,NA,NA,100,Miguel Olivo,1638,White Sox
K Youkilis,NA,50,52,46,40,54,49,53,58,81,0.77,NA,2005,BOS,NA,NA,NA,Kevin Youkilis,1935,Red Sox
"Johnson, Reed",NA,67,68,72,69,64,62,63,70,22,0.78,NA,2004,TOR,NA,28,123,Reed Johnson,1702,Blue Jays
"Diaz, Einar",NA,18,1,10,20,21,19,37,39,5,0.67,NA,2004,MON,NA,32,37,Einar Diaz,378,Expos
"Lee, Derrek",1B,75,85,75,66,90,73,57,71,35,0.75,5775,2006,CHN,NA,NA,NA,Derrek Lee,525,Cubs
"Quinlan, Robb",3B,36,27,39,41,41,30,33,40,13,0.61,7192,2008,ANA,35,NA,NA,Robb Quinlan,1779,Angels
"Broussard, Ben",NA,47,52,45,37,59,51,37,47,14,0.72,NA,2004,CLE,NA,28,113,Ben Broussard,312,Indians
"Zaun, Gregg",C,36,52,34,33,49,34,17,18,24,0.61,5427,2008,TOR,34,NA,NA,Gregg Zaun,580,Blue Jays
"Wilson, Preston",LF,31,26,35,44,25,32,31,22,10,0.53,5994,2006,HOU,NA,NA,NA,Preston Wilson,545,- - -
"McDonald, John",2B,NA,73,72,53,85,79,51,85,7,0.74,NA,2003,NA,NA,NA,87,John McDonald,395,Indians
"Pena, Carlos",1B,59,70,50,40,78,64,51,61,53,0.7,6621,2008,TBA,63,NA,NA,Carlos Pena,934,Rays
"Hernandez, Jose",NA,49,47,52,53,53,45,45,48,6,0.84,NA,2004,LAN,NA,35,54,Jose Hernandez,688,Dodgers
"Inge, Brandon",C,77,79,79,67,72,81,88,73,64,0.68,6681,2008,DET,78,NA,NA,Brandon Inge,470,Tigers
"Lo Duca, Paul",NA,43,46,50,41,45,41,33,33,17,0.64,NA,2004,LAN,NA,32,87,Paul Lo Duca,662,- - -
"Eckstein, David",SS,48,52,55,54,51,55,7,49,64,0.61,6688,2007,SLN,NA,NA,NA,David Eckstein,10,Cardinals
"Choo, Shin-Soo",RF,54,39,56,61,42,60,78,59,23,0.72,7498,2008,CLE,55,NA,NA,Shin-Soo Choo,3174,Indians
"Perez, Eduardo",1B,33,27,24,35,36,35,36,48,10,0.6,5094,2006,CLE,NA,NA,NA,Eduardo Perez,1409,- - -
"Wilkerson, Brad",NA,74,80,73,56,72,89,64,82,7,0.83,NA,2004,MON,NA,27,151,Brad Wilkerson,804,Expos
"De Aza, Alejandro",CF,56,60,68,77,50,34,47,39,5,0.74,7996,2007,FLO,NA,NA,NA,Alejandro De Aza,3371,Marlins
"Lopez, Felipe",NA,50,50,61,67,55,29,70,12,12,0.53,NA,2004,CIN,NA,24,67,Felipe Lopez,1311,Reds
"Rios, Alex",RF,70,54,66,81,58,80,92,81,98,0.79,7254,2007,TOR,NA,NA,NA,Alex Rios,2090,Blue Jays
"Gonzalez, Wiki",C,5,0,4,8,0,5,20,8,5,0.79,6312,2006,WAS,NA,NA,NA,Wiki Gonzalez,1033,Nationals
"Dellucci, David",NA,62,53,67,62,80,58,52,57,4,0.81,NA,2004,TEX,NA,31,82,David Dellucci,1402,Rangers
"Cedeno, Ronny",SS,52,51,69,69,38,34,69,13,42,0.68,7527,2006,CHN,NA,NA,NA,Ronny Cedeno,2179,Cubs
"Mabry, John",1B,26,25,17,24,26,33,32,34,23,0.67,5215,2006,CHN,NA,NA,NA,John Mabry,1381,Cubs
H Cota,NA,49,59,35,24,53,67,61,55,6,0.73,NA,2005,PIT,NA,NA,NA,Humberto Cota,1595,Pirates
"Young, Michael",NA,80,85,73,68,88,87,77,87,8,0.86,NA,2004,TEX,NA,28,154,Michael Young,1286,Rangers
T Self,NA,42,48,43,41,42,41,35,45,5,0.69,NA,2005,HOU,NA,NA,NA,Todd Self,2933,Astros
"Gload, Ross",1B,48,54,52,47,52,39,37,40,23,0.68,6560,2006,CHA,NA,NA,NA,Ross Gload,1538,White Sox
"Helton, Todd",1B,63,84,57,30,83,69,47,62,10,0.64,5870,2008,COL,69,NA,NA,Todd Helton,432,Rockies
"Griffey Jr., Ken",NA,66,80,56,52,77,73,58,64,16,0.43,NA,2004,CIN,NA,35,73,Ken Griffey Jr.,327,Reds
"Fick, Robert",C,24,25,30,29,28,17,12,18,8,0.76,6139,2006,WAS,NA,NA,NA,Robert Fick,466,Nationals
J Varitek,NA,66,79,61,51,76,68,56,63,105,0.72,NA,2005,BOS,NA,NA,NA,Jason Varitek,217,Red Sox
"Youkilis, Kevin",1B,54,61,50,35,65,56,53,59,125,0.8,7049,2006,BOS,NA,NA,NA,Kevin Youkilis,1935,Red Sox
"Aurilia, Rich",3B,41,44,27,25,51,52,43,57,28,0.62,5523,2006,CIN,NA,NA,NA,Rich Aurilia,1106,Reds
"Klesko, Ryan",1B,NA,21,36,54,15,14,30,18,6,0.57,NA,2003,NA,NA,NA,213,Ryan Klesko,1041,Padres
"Williams, Bernie",CF,NA,25,34,62,55,34,0,22,47,0.62,NA,2003,NA,NA,NA,259,Bernie Williams,857,Yankees
R Mackowiak,NA,54,57,51,58,39,52,70,55,10,0.58,NA,2005,PIT,NA,NA,NA,Rob Mackowiak,995,Pirates
"Konerko, Paul",1B,45,51,29,13,70,52,51,55,18,0.68,5908,2007,CHA,NA,NA,NA,Paul Konerko,242,White Sox
"Gutierrez, Franklin",RF,82,83,87,79,79,80,86,79,34,0.82,7644,2008,CLE,82,NA,NA,Franklin Gutierrez,3255,Indians
"Ramirez, Manny",NA,33,28,28,36,19,35,52,44,90,0.62,NA,2004,BOS,NA,32,121,Manny Ramirez,210,Red Sox
"Peralta, Jhonny",SS,40,29,27,29,48,46,65,56,36,0.52,7156,2008,CLE,39,NA,NA,Jhonny Peralta,1738,Indians
"Hinske, Eric",NA,47,45,49,48,54,45,40,49,27,0.41,NA,2004,TOR,NA,27,146,Eric Hinske,1305,Blue Jays
"Burnitz, Jeromy",RF,27,20,21,22,27,32,45,41,19,0.63,5061,2006,PIT,NA,NA,NA,Jeromy Burnitz,867,Pirates
"Dye, Jermaine",RF,NA,52,38,44,55,72,81,70,23,0.75,NA,2003,NA,NA,NA,147,Jermaine Dye,911,Athletics
"Kennedy, Adam",2B,49,49,50,49,52,55,40,47,48,0.7,6318,2008,SLN,50,NA,NA,Adam Kennedy,19,Cardinals
"Munson, Eric",NA,12,6,20,21,6,0,38,0,6,0.78,NA,2004,DET,NA,27,82,Eric Munson,481,Tigers
"Nevin, Phil",NA,35,36,24,21,44,34,61,39,3,0.45,NA,2004,SDN,NA,33,134,Phil Nevin,1049,Padres
G Jenkins,NA,70,65,57,54,81,79,85,86,29,0.79,NA,2005,MIL,NA,NA,NA,Geoff Jenkins,690,Brewers
"Menechino, Frank",NA,52,56,51,48,49,57,47,52,17,0.82,NA,2004,TOR,NA,33,45,Frank Menechino,931,- - -
"Marrero, Eli",NA,55,52,51,64,55,54,63,52,11,0.8,NA,2004,ATL,NA,31,62,Eli Marrero,1166,Braves
"Myers, Greg",C,NA,46,19,12,46,40,29,49,10,0.83,NA,2003,NA,NA,NA,103,Greg Myers,933,Blue Jays
"Clark, Brady",NA,54,52,60,57,59,54,32,58,11,0.79,NA,2004,MIL,NA,31,96,Brady Clark,1398,Brewers
"Allen, Chad",NA,31,23,44,37,37,24,26,16,4,0.78,NA,2004,TEX,NA,29,11,Chad Allen,122,Rangers
N Garciaparra,NA,49,58,42,50,40,42,71,39,16,0.72,NA,2005,CHN,NA,NA,NA,Nomar Garciaparra,190,Cubs
"Rivera, Juan",NA,66,56,53,42,60,83,93,99,6,0.83,NA,2004,MON,NA,26,99,Juan Rivera,843,Expos
"Amezaga, Alfredo",CF,73,74,79,78,76,77,49,66,20,0.67,6892,2008,FLO,75,NA,NA,Alfredo Amezaga,1,Marlins
"Mathis, Jeff",C,53,61,55,49,61,48,57,17,12,0.59,7296,2008,ANA,49,NA,NA,Jeff Mathis,3448,Angels
F Lopez,NA,63,64,73,71,51,55,80,37,19,0.81,NA,2005,CIN,NA,NA,NA,Felipe Lopez,1311,Reds
"Overbay, Lyle",NA,39,43,29,31,45,38,42,48,9,0.66,NA,2004,MIL,NA,27,151,Lyle Overbay,1617,Brewers
"Clayton, Royce",SS,NA,60,56,54,69,61,56,66,6,0.8,NA,2003,NA,NA,NA,230,Royce Clayton,226,Brewers
M Lieberthal,NA,24,22,27,22,18,28,32,26,10,0.63,NA,2005,PHI,NA,NA,NA,Mike Lieberthal,959,Phillies
"Green, Shawn",NA,55,50,45,52,60,62,63,65,15,0.68,NA,2004,LAN,NA,32,150,Shawn Green,651,Dodgers
"Jimenez, D'Angelo",NA,53,50,57,53,55,50,46,57,12,0.74,NA,2004,CIN,NA,27,142,D'Angelo Jimenez,1038,Reds
M Olivo,NA,39,27,46,49,16,32,70,52,21,0.4,NA,2005,SEA,NA,NA,NA,Miguel Olivo,1638,- - -
"Mather, Joe",LF,47,47,48,56,49,40,47,39,41,0.78,8261,2008,SLN,49,NA,NA,Joe Mather,3714,Cardinals
"Gutierrez, Ricky",NA,48,43,54,51,43,45,51,48,18,0.55,NA,2004,NYN,NA,34,15,Ricky Gutierrez,387,- - -
"Kapler, Gabe",CF,54,54,61,56,56,48,45,45,21,0.82,6140,2008,MIL,55,NA,NA,Gabe Kapler,1256,Brewers
"Cedeno, Roger",NA,31,14,35,80,22,22,28,16,9,0.58,NA,2004,SLN,NA,30,37,Roger Cedeno,869,Cardinals
"Cota, Humberto",C,35,33,29,27,38,46,43,41,11,0.62,6289,2006,PIT,NA,NA,NA,Humberto Cota,1595,Pirates
"Byrnes, Eric",CF,59,47,67,75,62,50,56,45,20,0.72,6558,2006,ARI,NA,NA,NA,Eric Byrnes,905,Diamondbacks
"Eckstein, David",SS,NA,56,74,59,52,46,2,54,17,0.58,NA,2003,NA,NA,NA,240,David Eckstein,10,Angels
"Davis, Chris",1B,56,62,50,46,59,58,62,57,13,0.66,8285,2008,TEX,57,NA,NA,Chris Davis,9272,Rangers
"Tyner, Jason",CF,62,56,69,78,61,57,40,64,28,0.71,6492,2006,MIN,NA,NA,NA,Jason Tyner,1232,Twins
"Catalanotto, Frank",LF,36,33,37,33,42,37,24,42,9,0.76,5907,2007,TEX,NA,NA,NA,Frank Catalanotto,1241,Rangers
"Harris, Willie",NA,59,55,83,85,45,46,28,52,16,0.68,NA,2004,CHA,NA,26,100,Willie Harris,236,White Sox
L Rodriguez,NA,57,53,63,65,55,53,52,52,11,0.77,NA,2005,MIN,NA,NA,NA,Luis Rodriguez,2364,Twins
"Fasano, Sal",C,37,51,18,17,46,44,47,48,30,0.61,5553,2007,TOR,NA,NA,NA,Sal Fasano,1205,Blue Jays
"Cabrera, Miguel",1B,37,38,19,19,45,39,66,50,64,0.68,7163,2008,DET,37,NA,NA,Miguel Cabrera,1744,Tigers
"Youkilis, Kevin",1B,61,71,53,38,78,64,57,62,271,0.77,7049,2007,BOS,NA,NA,NA,Kevin Youkilis,1935,Red Sox
"Spencer, Shane",NA,48,47,45,53,49,45,53,44,7,0.79,NA,2004,NYN,NA,32,45,Shane Spencer,848,Mets
"Kendrick, Howie",2B,62,62,66,66,59,58,57,63,14,0.82,7746,2008,ANA,62,NA,NA,Howie Kendrick,4229,Angels
"Ibanez, Raul",NA,41,41,36,43,43,30,50,49,14,0.77,NA,2004,SEA,NA,32,116,Raul Ibanez,607,Mariners
"Nady, Xavier",RF,45,36,43,45,47,47,55,55,9,0.77,6610,2007,PIT,NA,NA,NA,Xavier Nady,1658,Pirates
"McGriff, Fred",1B,NA,14,19,14,14,21,16,23,16,0.53,NA,2003,NA,NA,NA,197,Fred McGriff,293,Dodgers
"LeCroy, Matthew",NA,10,21,3,7,18,1,13,10,17,0.67,NA,2004,MIN,NA,29,36,Matthew LeCroy,1456,Twins
"Broussard, Ben",1B,28,22,25,29,27,23,34,43,16,0.66,6633,2006,CLE,NA,NA,NA,Ben Broussard,312,- - -
"Buck, John",C,31,43,24,16,54,23,21,24,23,0.56,7056,2008,KCA,32,NA,NA,John Buck,2041,Royals
"Berroa, Angel",SS,32,35,46,53,0,12,62,6,23,0.55,6817,2006,KCA,NA,NA,NA,Angel Berroa,591,Royals
E Hinske,NA,42,45,47,48,45,29,34,32,55,0.62,NA,2005,TOR,NA,NA,NA,Eric Hinske,1305,Blue Jays
D Erstad,NA,76,90,80,67,84,74,53,71,33,0.74,NA,2005,ANA,NA,NA,NA,Darin Erstad,11,Angels
"Vidro, Jose",2B,NA,66,48,39,64,58,46,71,9,0.61,NA,2003,NA,NA,NA,303,Jose Vidro,802,Expos
P Nevin,NA,21,23,17,11,30,7,49,7,10,0.72,NA,2005,SDN,NA,NA,NA,Phil Nevin,1049,- - -
"Ramirez, Max",C,26,36,18,18,29,24,34,27,7,0.75,8277,2008,TEX,29,NA,NA,Max Ramirez,5039,Rangers
"Hermida, Jeremy",RF,34,34,40,43,16,31,41,39,7,0.75,7492,2007,FLO,NA,NA,NA,Jeremy Hermida,7208,Marlins
"Hannahan, Jack",3B,57,65,58,48,56,55,57,52,25,0.68,7774,2008,OAK,57,NA,NA,Jack Hannahan,3692,Athletics
"Lofton, Kenny",CF,30,20,41,69,29,20,0,6,13,0.57,4789,2006,LAN,NA,NA,NA,Kenny Lofton,246,Dodgers
"Hudson, Orlando",NA,81,84,90,79,79,82,65,80,29,0.81,NA,2004,TOR,NA,27,125,Orlando Hudson,1307,Blue Jays
"Davis, Rajai",CF,71,60,79,91,68,61,69,66,22,0.73,7835,2007,SFN,NA,NA,NA,Rajai Davis,3708,- - -
M Giles,NA,65,64,70,68,65,64,51,65,23,0.74,NA,2005,ATL,NA,NA,NA,Marcus Giles,89,Braves
"LaRoche, Andy",3B,52,52,52,48,53,50,57,48,21,0.79,7928,2007,LAN,NA,NA,NA,Andy LaRoche,6444,Dodgers
"Delgado, Carlos",1B,28,23,22,26,41,30,26,27,20,0.66,5178,2006,NYN,NA,NA,NA,Carlos Delgado,1297,Mets
"Soto, Geovany",C,58,70,42,34,71,68,69,63,51,0.7,7662,2008,CHN,65,NA,NA,Geovany Soto,3707,Cubs
L Overbay,NA,39,49,31,26,50,41,34,47,27,0.77,NA,2005,MIL,NA,NA,NA,Lyle Overbay,1617,Brewers
"Hudson, Orlando",2B,NA,71,76,70,57,71,51,58,14,0.8,NA,2003,NA,NA,NA,208,Orlando Hudson,1307,Blue Jays
"Upton, Justin",RF,53,35,73,84,23,37,85,34,38,0.59,8080,2008,ARI,60,NA,NA,Justin Upton,5222,Diamondbacks
"Castillo, Luis",2B,NA,69,72,78,52,71,59,78,5,0.85,NA,2003,NA,NA,NA,287,Luis Castillo,513,Marlins
D Murphy,NA,54,57,61,55,51,48,54,47,4,0.66,NA,2005,KCA,NA,NA,NA,Donnie Murphy,4704,Royals
"Gonzalez, Edgar",2B,28,26,33,39,16,19,32,29,35,0.66,8242,2008,SDN,26,NA,NA,Edgar Gonzalez,2963,Padres
"Taguchi, So",CF,47,45,57,62,39,46,26,41,38,0.58,6843,2007,SLN,NA,NA,NA,So Taguchi,1186,Cardinals
"Thome, Jim",1B,NA,45,24,19,58,39,40,47,9,0.74,NA,2003,NA,NA,NA,290,Jim Thome,409,Phillies
"Duncan, Chris",LF,20,13,21,38,5,14,33,23,24,0.7,7658,2006,SLN,NA,NA,NA,Chris Duncan,2722,Cardinals
A Marte,NA,64,66,66,61,46,77,68,77,5,0.7,NA,2005,ATL,NA,NA,NA,Andy Marte,3203,Braves
"Griffey Jr., Ken",CF,48,68,23,24,67,62,46,56,35,0.46,4305,2006,CIN,NA,NA,NA,Ken Griffey Jr.,327,Reds
"Iwamura, Akinori",3B,78,86,84,65,76,85,63,81,27,0.79,7908,2007,TBA,NA,NA,NA,Akinori Iwamura,7781,Devil Rays
"Bell, David",3B,NA,66,56,33,71,62,54,59,16,0.64,NA,2003,NA,NA,NA,183,David Bell,1108,Phillies
"Infante, Omar",3B,47,54,52,50,43,40,40,43,13,0.78,7016,2008,ATL,45,NA,NA,Omar Infante,1609,Braves
"Grudzielanek, Mark",2B,NA,43,35,44,31,33,40,43,9,0.61,NA,2003,NA,NA,NA,229,Mark Grudzielanek,653,Cubs
"Varitek, Jason",C,55,66,46,37,71,57,50,52,242,0.7,5921,2007,BOS,NA,NA,NA,Jason Varitek,217,Red Sox
"Harris, Brendan",SS,37,34,34,47,30,34,47,39,25,0.73,7372,2008,MIN,37,NA,NA,Brendan Harris,2178,Twins
"Escobar, Yunel",SS,70,74,69,62,68,71,84,63,25,0.72,7938,2008,ATL,71,NA,NA,Yunel Escobar,4191,Braves
M Lamb,NA,19,17,22,30,0,10,41,25,13,0.73,NA,2005,HOU,NA,NA,NA,Mike Lamb,1258,Astros
"Janish, Paul",SS,69,68,68,58,73,77,69,72,21,0.78,8245,2008,CIN,70,NA,NA,Paul Janish,7412,Reds
"Reynolds, Mark",3B,56,53,57,59,45,57,68,56,23,0.78,8030,2007,ARI,NA,NA,NA,Mark Reynolds,7619,Diamondbacks
"Ramirez, Manny",LF,36,21,25,32,30,57,55,66,130,0.56,5132,2006,BOS,NA,NA,NA,Manny Ramirez,210,Red Sox
"Kotchman, Casey",1B,68,85,57,38,88,75,59,72,21,0.68,7293,2007,ANA,NA,NA,NA,Casey Kotchman,1930,Angels
"Bautista, Jose",3B,46,43,41,38,44,49,71,40,8,0.48,7264,2008,PIT,50,NA,NA,Jose Bautista,1887,- - -
A Dunn,NA,36,30,29,50,26,34,52,43,23,0.67,NA,2005,CIN,NA,NA,NA,Adam Dunn,319,Reds
"Jenkins, Geoff",LF,65,65,54,47,72,72,80,77,19,0.75,5948,2007,MIL,NA,NA,NA,Geoff Jenkins,690,Brewers
"Ortiz, David",1B,NA,16,12,14,22,25,40,27,13,0.81,NA,2003,NA,NA,NA,56,David Ortiz,745,Red Sox
"DeJesus, David",NA,58,64,63,67,62,50,44,48,10,0.78,NA,2004,KCA,NA,25,89,David DeJesus,1825,Royals
"Miller, Corky",NA,38,43,34,41,37,41,37,34,4,0.46,NA,2004,CIN,NA,28,12,Corky Miller,342,Reds
"Renteria, Edgar",SS,53,44,51,52,54,63,45,70,18,0.67,5602,2006,ATL,NA,NA,NA,Edgar Renteria,1178,Braves
"Hairston, Jerry",NA,69,70,79,79,69,63,49,58,29,0.66,NA,2004,BAL,NA,28,57,Jerry Hairston,144,Orioles
O Hudson,NA,88,94,94,83,89,92,65,87,68,0.84,NA,2005,TOR,NA,NA,NA,Orlando Hudson,1307,Blue Jays
"DeRosa, Mark",2B,57,60,57,52,55,61,52,62,53,0.78,6094,2008,CHN,57,NA,NA,Mark DeRosa,1392,Cubs
B Inge,NA,65,72,66,61,55,60,88,57,30,0.7,NA,2005,DET,NA,NA,NA,Brandon Inge,470,Tigers
"Branyan, Russell",NA,38,43,34,22,35,35,59,45,9,0.72,NA,2004,MIL,NA,29,41,Russell Branyan,370,Brewers
J Hairston,NA,44,27,55,66,42,43,33,32,14,0.75,NA,2005,CHN,NA,NA,NA,Jerry Hairston,144,Cubs
"Delgado, Carlos",1B,27,29,19,20,35,28,27,32,38,0.59,5178,2007,NYN,NA,NA,NA,Carlos Delgado,1297,Mets
"Molina, Bengie",C,25,24,8,9,32,37,44,40,49,0.69,6026,2006,TOR,NA,NA,NA,Bengie Molina,24,Blue Jays
"Young, Dmitri",NA,31,27,34,28,32,30,26,39,5,0.65,NA,2004,DET,NA,31,26,Dmitri Young,505,Tigers
"Pierzynski, A.J.",C,44,53,39,27,55,45,44,40,30,0.7,6109,2006,CHA,NA,NA,NA,A.J. Pierzynski,746,White Sox
"Pujols, Albert",1B,68,81,66,48,79,73,61,65,45,0.71,6619,2006,SLN,NA,NA,NA,Albert Pujols,1177,Cardinals
"Crisp, Coco",CF,NA,52,66,78,43,43,28,39,7,0.67,NA,2003,NA,NA,NA,76,Coco Crisp,1572,Indians
"Williams, Bernie",RF,26,23,22,37,46,27,0,12,52,0.62,4695,2006,NYA,NA,NA,NA,Bernie Williams,857,Yankees
"Guerrero, Vladimir",RF,42,38,37,38,24,46,88,44,14,0.63,5737,2008,ANA,40,NA,NA,Vladimir Guerrero,778,Angels
"Paulino, Ronny",C,36,31,27,24,30,48,62,46,21,0.64,7089,2006,PIT,NA,NA,NA,Ronny Paulino,2129,Pirates
"Johnson, Nick",1B,57,64,43,39,71,69,53,67,8,0.82,6401,2008,WAS,59,NA,NA,Nick Johnson,828,Nationals
"Duncan, Chris",LF,26,11,32,45,10,17,38,35,57,0.67,7658,2007,SLN,NA,NA,NA,Chris Duncan,2722,Cardinals
D Hollins,NA,42,38,57,61,26,28,35,39,5,0.69,NA,2005,TBA,NA,NA,NA,Damon Hollins,1919,Devil Rays
"Castillo, Luis",2B,46,43,40,48,51,50,40,55,29,0.56,5676,2008,NYN,46,NA,NA,Luis Castillo,513,Mets
"Casey, Sean",1B,40,56,19,11,71,43,37,44,45,0.7,5930,2007,DET,NA,NA,NA,Sean Casey,314,Tigers
J McDonald,NA,45,44,42,45,49,49,42,48,17,0.76,NA,2005,DET,NA,NA,NA,John McDonald,395,- - -
M Treanor,NA,80,85,74,83,79,86,68,87,2,0.54,NA,2005,FLO,NA,NA,NA,Matt Treanor,2265,Marlins
"Repko, Jason",CF,66,52,75,82,50,63,83,59,12,0.86,7519,2006,LAN,NA,NA,NA,Jason Repko,2628,Dodgers
"Dye, Jermaine",RF,39,32,21,34,42,47,68,56,20,0.64,5610,2007,CHA,NA,NA,NA,Jermaine Dye,911,White Sox
