"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2001","Roberto Alomar","Indians","157","677","20","113","100","30","11.8 %","10.5 %",".205",".351",".336",".415",".541",".406","151","3.4","46.9","-2.7","6.6","860"
"2004","Alex Rodriguez","Yankees","155","698","36","112","106","28","11.5 %","18.8 %",".226",".308",".286",".375",".512",".379","131","4.5","32.4","11.5","6.6","1274"
"2003","Todd Helton","Rockies","160","703","33","135","117","0","15.8 %","10.2 %",".271",".363",".358",".458",".630",".453","163","0.3","56.9","-13.2","6.6","432"
"2002","Jason Giambi","Yankees","155","689","41","120","122","2","15.8 %","16.3 %",".284",".328",".314",".435",".598",".440","175","-5.5","58.2","-16.0","6.6","818"
"2000","Gary Sheffield","Dodgers","141","612","43","105","109","4","16.5 %","11.6 %",".317",".305",".325",".438",".643",".451","173","-1.9","59.3","-9.0","6.6","114"
"2002","Scott Rolen","- - -","155","667","31","89","110","8","10.8 %","15.3 %",".238",".273",".266",".357",".503",".370","127","-3.9","18.6","24.9","6.5","970"
"2009","Chone Figgins","Angels","158","729","5","114","54","42","13.9 %","15.6 %",".096",".356",".298",".395",".393",".357","116","7.1","21.6","18.5","6.5","1580"
"2001","Cliff Floyd","Marlins","149","629","31","123","103","18","9.4 %","16.1 %",".261",".339",".317",".390",".578",".400","146","2.3","40.0","5.4","6.5","518"
"2000","Jim Edmonds","Cardinals","152","643","42","129","108","10","16.0 %","26.0 %",".288",".349",".295",".411",".583",".421","149","0.7","43.2","4.7","6.5","1153"
"2007","Jimmy Rollins","Phillies","162","778","30","139","94","41","6.3 %","10.9 %",".235",".300",".296",".344",".531",".371","119","11.8","30.6","10.0","6.5","971"
"2000","Edgardo Alfonzo","Mets","150","650","25","109","94","3","14.6 %","10.8 %",".219",".332",".324",".425",".542",".418","150","-0.2","44.2","2.9","6.4","859"
"2004","Carlos Beltran","- - -","159","708","38","121","104","42","13.0 %","14.3 %",".280",".261",".267",".367",".548",".383","128","13.9","39.6","2.2","6.4","589"
"2007","Grady Sizemore","Indians","162","748","24","118","78","33","13.5 %","20.7 %",".185",".333",".277",".390",".462",".373","129","9.8","36.9","2.5","6.4","2197"
"2000","Brian Giles","Pirates","156","688","35","111","123","6","16.6 %","10.0 %",".279",".305",".315",".432",".594",".430","153","1.3","51.2","-5.7","6.3","990"
"2008","Dustin Pedroia","Red Sox","157","726","17","118","83","20","6.9 %","7.2 %",".167",".331",".326",".376",".493",".377","127","2.3","26.4","12.1","6.3","8370"
"2007","David Ortiz","Red Sox","149","667","35","116","117","3","16.6 %","15.4 %",".290",".355",".332",".445",".621",".449","175","-4.4","58.1","-16.6","6.3","745"
"2003","Jim Edmonds","Cardinals","137","531","39","89","89","1","14.5 %","23.9 %",".342",".297",".275",".385",".617",".417","156","-1.3","36.9","9.7","6.3","1153"
"2003","Edgar Renteria","Cardinals","157","663","13","96","100","34","9.8 %","8.1 %",".150",".343",".330",".394",".480",".375","128","5.9","30.0","12.3","6.3","1178"
"2002","Andruw Jones","Braves","154","659","35","91","94","8","12.6 %","20.5 %",".248",".285",".264",".366",".513",".377","130","-1.4","23.5","18.0","6.3","96"
"2006","Miguel Cabrera","Marlins","158","676","26","112","114","9","12.7 %","16.0 %",".229",".379",".339",".430",".568",".415","153","-2.7","44.3","-1.8","6.3","1744"
"2000","Vladimir Guerrero","Expos","154","641","44","101","123","9","9.0 %","11.5 %",".319",".335",".345",".410",".664",".439","160","-2.7","49.2","-3.7","6.2","778"
"2001","Jim Edmonds","Cardinals","150","608","30","95","110","5","15.3 %","22.4 %",".260",".355",".304",".410",".564",".406","148","-1.2","36.9","7.0","6.2","1153"
"2003","Scott Rolen","Cardinals","154","657","28","98","104","13","12.5 %","15.8 %",".242",".304",".286",".382",".528",".388","137","0.9","31.8","10.0","6.2","970"
"2004","Melvin Mora","Orioles","140","636","27","111","104","11","10.4 %","14.9 %",".222",".371",".340",".419",".562",".421","159","-0.6","47.4","-5.1","6.2","157"
"2004","Lance Berkman","Astros","160","687","30","104","106","9","18.5 %","14.7 %",".250",".339",".316",".450",".566",".430","161","-2.8","50.8","-10.6","6.2","548"
"2008","Kevin Youkilis","Red Sox","145","621","29","91","115","3","10.0 %","17.4 %",".257",".339",".312",".390",".569",".406","146","2.4","37.9","2.5","6.1","1935"
"2006","Derek Jeter","Yankees","154","715","14","118","97","34","9.7 %","14.3 %",".140",".391",".343",".417",".483",".392","138","5.2","39.9","-1.2","6.1","826"
"2005","Jim Edmonds","Cardinals","142","567","29","88","89","5","16.0 %","24.5 %",".270",".310",".263",".385",".533",".389","139","4.0","31.7","10.9","6.1","1153"
"2006","Lance Berkman","Astros","152","646","45","95","136","3","15.2 %","16.4 %",".306",".316",".315",".420",".621",".426","158","-1.0","48.4","-6.7","6.1","548"
"2000","Jorge Posada","Yankees","151","624","28","92","86","2","17.1 %","24.2 %",".240",".355",".287",".417",".527",".405","140","-0.4","33.3","10.1","6.1","841"
"2007","Ichiro Suzuki","Mariners","161","736","6","111","68","37","6.7 %","10.5 %",".080",".389",".351",".396",".431",".362","122","9.8","30.2","6.9","6.1","1101"
"2001","Chipper Jones","Braves","159","677","38","113","102","9","14.5 %","12.1 %",".274",".330",".330",".427",".605",".427","161","-2.6","51.6","-11.2","6.1","97"
"2002","Lance Berkman","Astros","158","692","42","106","128","8","15.5 %","17.1 %",".285",".302",".292",".405",".578",".411","149","2.6","45.1","-6.9","6.1","548"
